Open_time,Open,High,Low,Close,Volume
2021-06-17,359.74,361.04,358.67,360.59,14062.5926
2021-06-17,360.59,361.09,359.73,360.27,9764.4441
2021-06-17,360.21,360.93,359.84,360.14,5538.1521
2021-06-17,360.16,360.27,359.35,359.57,7407.9974
2021-06-17,359.57,360.19,359.08,359.17,8654.802
2021-06-17,359.13,360.75,359.13,360.57,6522.4332
2021-06-17,360.57,360.59,358.18,358.76,12791.5555
2021-06-17,358.8,358.98,358.01,358.58,7997.0906
2021-06-17,358.59,359.26,358.49,358.5,7781.7546
2021-06-17,358.5,358.77,355.68,355.82,15874.168
2021-06-17,355.85,356.78,353.84,354.87,23816.4106
2021-06-17,354.87,356.08,353.98,355.15,23300.6864
2021-06-17,355.14,356.3,353.61,355.23,14245.6966
2021-06-17,355.24,355.97,353.17,353.95,15728.6805
2021-06-17,353.95,354.14,352.6,353.93,11193.1818
2021-06-17,353.92,355.22,353.81,354.25,7835.2554
2021-06-17,354.26,355.17,353.58,354.03,8416.0885
2021-06-17,354.0,354.02,351.6,353.08,18632.7507
2021-06-17,353.04,356.11,352.96,355.67,12950.9911
2021-06-17,355.67,356.94,354.05,354.41,13945.4619
2021-06-17,354.41,355.6,353.8,355.5,8257.1513
2021-06-17,355.5,356.38,354.43,355.49,9708.9176
2021-06-17,355.46,355.54,354.44,354.92,12252.8617
2021-06-17,354.89,356.7,354.82,355.78,20284.7358
2021-06-17,355.8,357.74,355.7,357.05,12408.9686
2021-06-17,357.04,357.95,355.06,355.65,21424.634
2021-06-17,355.64,355.64,353.34,354.18,16304.1898
2021-06-17,354.16,354.63,353.03,353.61,13096.7233
2021-06-17,353.54,353.97,351.52,353.39,19262.9469
2021-06-17,353.38,353.66,351.0,351.34,13641.4439
2021-06-17,351.35,352.54,348.07,349.09,46249.7386
2021-06-17,349.08,350.95,347.94,349.98,28395.042
2021-06-17,349.96,350.02,346.92,348.01,24127.7512
2021-06-17,348.05,349.27,346.99,348.49,17827.8458
2021-06-17,348.5,348.99,347.21,347.69,11664.7003
2021-06-17,347.7,349.69,346.33,348.61,20898.3908
